email_text,sender,label
Congratulations! You have won a free iPhone. Click here to claim.,promo@spamoffers.com,1
"Hi John, just wanted to check if you're free for a meeting tomorrow.",colleague@work.com,0
Your invoice is attached. Please review it and make the payment.,billing@company.com,0
Limited time offer! Buy 1 get 1 free. Visit our website now.,deals@onlineshop.com,1
"Hey, are we still on for lunch next week?",friend@mail.com,0
URGENT: Update your bank details to avoid suspension.,alerts@bank.com,1
"Dear customer, your package has been shipped. Track it here.",support@ecommerce.com,0
Make $$$ working from home. No experience required!,money@scammybiz.com,1
Reminder: Your dentist appointment is tomorrow at 3 PM.,reception@clinic.com,0
Earn passive income by investing in crypto today.,invest@crypto-world.com,1
